event_id,session_id,user_id,event_type,event_seq,timestamp,car_type,area,product_id,rental_days,price,device
evt_000026,sess_0007,user_0220,view,3,2025-06-20T15:40:18,SUV,narita,prod_004,,,mobile
evt_000027,sess_0007,user_0220,view,4,2025-06-20T15:44:02,hatchback,funabashi,prod_012,,,mobile
evt_000028,sess_0007,user_0220,purchase,5,2025-06-20T15:45:10,minivan,katsuura,prod_010,2,23548,mobile
evt_000029,sess_0008,user_0078,view,1,2025-06-19T20:54:00,SUV,chiba,prod_001,,,mobile
evt_000030,sess_0008,user_0078,view,2,2025-06-19T20:56:02,hatchback,chiba,prod_011,,,mobile
evt_000031,sess_0008,user_0078,view,3,2025-06-19T20:56:22,hatchback,funabashi,prod_012,,,mobile
evt_000032,sess_0009,user_0293,view,1,2025-06-04T03:34:00,hatchback,chiba,prod_011,,,mobile
evt_000033,sess_0009,user_0293,view,2,2025-06-04T03:36:49,minivan,katsuura,prod_010,,,mobile
evt_000034,sess_0009,user_0293,view,3,2025-06-04T03:39:24,SUV,katsuura,prod_005,,,mobile
evt_000035,sess_0009,user_0293,view,4,2025-06-04T03:40:04,hatchback,chiba,prod_011,,,mobile
evt_000036,sess_0009,user_0293,view,5,2025-06-04T03:40:41,minivan,chiba,prod_006,,,mobile
evt_000037,sess_0009,user_0293,view,6,2025-06-04T03:41:31,hatchback,narita,prod_014,,,mobile
evt_000038,sess_0009,user_0293,purchase,7,2025-06-04T03:44:19,minivan,chiba,prod_006,2,22826,mobile
evt_000039,sess_0010,user_0536,view,1,2025-06-01T19:10:00,minivan,katsuura,prod_010,,,mobile
evt_000040,sess_0010,user_0536,view,2,2025-06-01T19:10:45,SUV,funabashi,prod_002,,,mobile
evt_000041,sess_0010,user_0536,purchase,3,2025-06-01T19:12:12,minivan,katsuura,prod_010,1,11396,mobile
evt_000042,sess_0011,user_0292,view,1,2025-06-07T11:40:00,SUV,katsuura,prod_005,,,mobile
evt_000043,sess_0011,user_0292,view,2,2025-06-07T11:43:30,minivan,chiba,prod_006,,,mobile
evt_000044,sess_0011,user_0292,purchase,3,2025-06-07T11:46:24,minivan,chiba,prod_006,3,35572,mobile
evt_000045,sess_0012,user_0518,view,1,2025-06-08T17:29:00,minivan,narita,prod_009,,,mobile
evt_000046,sess_0012,user_0518,view,2,2025-06-08T17:31:09,minivan,chiba,prod_006,,,mobile
evt_000047,sess_0012,user_0518,view,3,2025-06-08T17:34:25,hatchback,narita,prod_014,,,mobile
evt_000048,sess_0012,user_0518,view,4,2025-06-08T17:38:18,SUV,narita,prod_004,,,mobile
evt_000049,sess_0012,user_0518,purchase,5,2025-06-08T17:40:28,minivan,chiba,prod_006,4,47054,mobile
evt_000050,sess_0013,user_0041,view,1,2025-06-08T18:29:00,hatchback,narita,prod_014,,,desktop
evt_000051,sess_0013,user_0041,view,2,2025-06-08T18:31:05,SUV,narita,prod_004,,,desktop
evt_000052,sess_0013,user_0041,view,3,2025-06-08T18:32:50,hatchback,funabashi,prod_012,,,desktop
evt_000053,sess_0014,user_0255,view,1,2025-06-11T12:29:00,SUV,chiba,prod_001,,,mobile
evt_000054,sess_0014,user_0255,view,2,2025-06-11T12:30:44,SUV,chiba,prod_001,,,mobile
evt_000055,sess_0014,user_0255,view,3,2025-06-11T12:34:21,SUV,kashiwa,prod_003,,,mobile
evt_000056,sess_0015,user_0550,view,1,2025-06-21T05:39:00,minivan,funabashi,prod_007,,,mobile
evt_000057,sess_0015,user_0550,view,2,2025-06-21T05:40:58,hatchback,chiba,prod_011,,,mobile
evt_000058,sess_0015,user_0550,view,3,2025-06-21T05:41:29,hatchback,chiba,prod_011,,,mobile
evt_000059,sess_0015,user_0550,view,4,2025-06-21T05:45:15,minivan,narita,prod_009,,,mobile
evt_000060,sess_0016,user_0202,view,1,2025-06-16T05:16:00,minivan,funabashi,prod_007,,,mobile
evt_000061,sess_0016,user_0202,view,2,2025-06-16T05:16:52,SUV,kashiwa,prod_003,,,mobile
evt_000062,sess_0016,user_0202,view,3,2025-06-16T05:18:49,hatchback,katsuura,prod_015,,,mobile
evt_000063,sess_0016,user_0202,view,4,2025-06-16T05:21:46,minivan,funabashi,prod_007,,,mobile
evt_000064,sess_0016,user_0202,view,5,2025-06-16T05:25:39,SUV,funabashi,prod_002,,,mobile
evt_000065,sess_0017,user_0622,view,1,2025-06-30T04:20:00,minivan,chiba,prod_006,,,desktop
evt_000066,sess_0017,user_0622,view,2,2025-06-30T04:23:32,SUV,funabashi,prod_002,,,desktop
evt_000067,sess_0017,user_0622,view,3,2025-06-30T04:27:18,SUV,chiba,prod_001,,,desktop
evt_000068,sess_0017,user_0622,view,4,2025-06-30T04:28:40,hatchback,kashiwa,prod_013,,,desktop
evt_000069,sess_0017,user_0622,view,5,2025-06-30T04:32:16,SUV,funabashi,prod_002,,,desktop
evt_000070,sess_0017,user_0622,view,6,2025-06-30T04:35:17,minivan,kashiwa,prod_008,,,desktop
evt_000071,sess_0017,user_0622,purchase,7,2025-06-30T04:37:15,SUV,funabashi,prod_002,3,25672,desktop
evt_000072,sess_0018,user_0110,view,1,2025-06-25T13:08:00,hatchback,kashiwa,prod_013,,,desktop
evt_000073,sess_0018,user_0110,view,2,2025-06-25T13:11:33,hatchback,kashiwa,prod_013,,,desktop
evt_000074,sess_0018,user_0110,view,3,2025-06-25T13:14:57,hatchback,funabashi,prod_012,,,desktop
evt_000075,sess_0018,user_0110,view,4,2025-06-25T13:17:37,minivan,chiba,prod_006,,,desktop
evt_000076,sess_0018,user_0110,view,5,2025-06-25T13:21:37,minivan,funabashi,prod_007,,,desktop
evt_000077,sess_0019,user_0284,view,1,2025-06-08T05:44:00,SUV,narita,prod_004,,,desktop
evt_000078,sess_0019,user_0284,view,2,2025-06-08T05:47:20,SUV,kashiwa,prod_003,,,desktop
evt_000079,sess_0019,user_0284,view,3,2025-06-08T05:49:04,minivan,kashiwa,prod_008,,,desktop
evt_000080,sess_0020,user_0399,view,1,2025-06-25T20:52:00,hatchback,kashiwa,prod_013,,,desktop
evt_000081,sess_0020,user_0399,view,2,2025-06-25T20:54:54,hatchback,funabashi,prod_012,,,desktop
evt_000082,sess_0020,user_0399,view,3,2025-06-25T20:56:23,minivan,chiba,prod_006,,,desktop
evt_000083,sess_0020,user_0399,view,4,2025-06-25T20:58:09,hatchback,katsuura,prod_015,,,desktop
evt_000084,sess_0020,user_0399,view,5,2025-06-25T21:01:34,SUV,funabashi,prod_002,,,desktop
evt_000085,sess_0021,user_0547,view,1,2025-06-22T01:39:00,SUV,narita,prod_004,,,mobile
evt_000086,sess_0021,user_0547,view,2,2025-06-22T01:40:57,SUV,katsuura,prod_005,,,mobile
evt_000087,sess_0021,user_0547,view,3,2025-06-22T01:43:04,SUV,chiba,prod_001,,,mobile
evt_000088,sess_0022,user_0054,view,1,2025-06-12T05:33:00,SUV,kashiwa,prod_003,,,desktop
evt_000089,sess_0022,user_0054,view,2,2025-06-12T05:35:44,hatchback,funabashi,prod_012,,,desktop
evt_000090,sess_0022,user_0054,view,3,2025-06-12T05:37:09,hatchback,chiba,prod_011,,,desktop
evt_000091,sess_0023,user_0118,view,1,2025-06-04T20:00:00,hatchback,katsuura,prod_015,,,desktop
evt_000092,sess_0023,user_0118,view,2,2025-06-04T20:01:22,SUV,narita,prod_004,,,desktop
evt_000093,sess_0023,user_0118,view,3,2025-06-04T20:05:19,hatchback,narita,prod_014,,,desktop
evt_000094,sess_0024,user_0043,view,1,2025-06-08T08:06:00,minivan,narita,prod_009,,,mobile
evt_000095,sess_0024,user_0043,view,2,2025-06-08T08:09:06,SUV,katsuura,prod_005,,,mobile
evt_000096,sess_0024,user_0043,view,3,2025-06-08T08:11:43,hatchback,kashiwa,prod_013,,,mobile
evt_000097,sess_0024,user_0043,view,4,2025-06-08T08:15:34,hatchback,funabashi,prod_012,,,mobile
evt_000098,sess_0024,user_0043,view,5,2025-06-08T08:19:32,SUV,katsuura,prod_005,,,mobile
evt_000099,sess_0025,user_0250,view,1,2025-06-28T12:09:00,minivan,funabashi,prod_007,,,desktop
evt_000100,sess_0025,user_0250,view,2,2025-06-28T12:09:22,minivan,chiba,prod_006,,,desktop
evt_000101,sess_0025,user_0250,view,3,2025-06-28T12:10:43,minivan,kashiwa,prod_008,,,desktop
evt_000102,sess_0025,user_0250,view,4,2025-06-28T12:14:17,SUV,kashiwa,prod_003,,,desktop
evt_000103,sess_0025,user_0250,purchase,5,2025-06-28T12:17:39,SUV,kashiwa,prod_003,1,8849,desktop
evt_000104,sess_0026,user_0250,view,1,2025-06-11T20:48:00,SUV,chiba,prod_001,,,mobile
evt_000105,sess_0026,user_0250,view,2,2025-06-11T20:48:50,hatchback,katsuura,prod_015,,,mobile
evt_000106,sess_0026,user_0250,view,3,2025-06-11T20:52:06,SUV,chiba,prod_001,,,mobile
evt_000107,sess_0026,user_0250,view,4,2025-06-11T20:54:29,SUV,kashiwa,prod_003,,,mobile
evt_000108,sess_0026,user_0250,purchase,5,2025-06-11T20:58:03,SUV,chiba,prod_001,1,8812,mobile
evt_000109,sess_0027,user_0233,view,1,2025-06-06T01:03:00,hatchback,narita,prod_014,,,mobile
evt_000110,sess_0027,user_0233,view,2,2025-06-06T01:05:20,minivan,kashiwa,prod_008,,,mobile
evt_000111,sess_0027,user_0233,view,3,2025-06-06T01:05:53,SUV,katsuura,prod_005,,,mobile
evt_000112,sess_0027,user_0233,view,4,2025-06-06T01:06:42,hatchback,kashiwa,prod_013,,,mobile
evt_000113,sess_0027,user_0233,view,5,2025-06-06T01:07:20,minivan,narita,prod_009,,,mobile
evt_000114,sess_0027,user_0233,purchase,6,2025-06-06T01:08:18,hatchback,kashiwa,prod_013,1,6595,mobile
evt_000115,sess_0028,user_0122,view,1,2025-06-15T06:33:00,minivan,chiba,prod_006,,,mobile
evt_000116,sess_0028,user_0122,view,2,2025-06-15T06:36:29,SUV,narita,prod_004,,,mobile
evt_000117,sess_0028,user_0122,view,3,2025-06-15T06:39:29,SUV,kashiwa,prod_003,,,mobile
evt_000118,sess_0028,user_0122,view,4,2025-06-15T06:40:29,SUV,kashiwa,prod_003,,,mobile
evt_000119,sess_0028,user_0122,view,5,2025-06-15T06:41:29,SUV,kashiwa,prod_003,,,mobile
evt_000120,sess_0028,user_0122,purchase,6,2025-06-15T06:44:21,minivan,chiba,prod_006,1,10916,mobile
evt_000121,sess_0029,user_0465,view,1,2025-06-13T11:08:00,hatchback,chiba,prod_011,,,mobile
evt_000122,sess_0029,user_0465,view,2,2025-06-13T11:09:02,hatchback,kashiwa,prod_013,,,mobile
evt_000123,sess_0029,user_0465,view,3,2025-06-13T11:12:53,hatchback,funabashi,prod_012,,,mobile
evt_000124,sess_0029,user_0465,purchase,4,2025-06-13T11:13:44,hatchback,chiba,prod_011,2,11890,mobile
evt_000125,sess_0030,user_0553,view,1,2025-06-28T02:17:00,hatchback,katsuura,prod_015,,,mobile
evt_000126,sess_0030,user_0553,view,2,2025-06-28T02:20:12,hatchback,narita,prod_014,,,mobile
evt_000127,sess_0030,user_0553,view,3,2025-06-28T02:23:47,hatchback,narita,prod_014,,,mobile
evt_000128,sess_0030,user_0553,view,4,2025-06-28T02:26:53,minivan,funabashi,prod_007,,,mobile
evt_000129,sess_0030,user_0553,view,5,2025-06-28T02:29:42,minivan,katsuura,prod_010,,,mobile
evt_000130,sess_0030,user_0553,view,6,2025-06-28T02:30:25,minivan,kashiwa,prod_008,,,mobile
evt_000131,sess_0031,user_0165,view,1,2025-06-24T19:04:00,hatchback,chiba,prod_011,,,mobile
evt_000132,sess_0031,user_0165,view,2,2025-06-24T19:06:38,minivan,chiba,prod_006,,,mobile
evt_000133,sess_0031,user_0165,view,3,2025-06-24T19:09:10,SUV,narita,prod_004,,,mobile
evt_000134,sess_0031,user_0165,view,4,2025-06-24T19:12:10,minivan,chiba,prod_006,,,mobile
evt_000135,sess_0031,user_0165,view,5,2025-06-24T19:13:38,minivan,katsuura,prod_010,,,mobile
evt_000136,sess_0032,user_0497,view,1,2025-06-22T09:01:00,hatchback,narita,prod_014,,,mobile
evt_000137,sess_0032,user_0497,view,2,2025-06-22T09:01:59,minivan,narita,prod_009,,,mobile
evt_000138,sess_0033,user_0426,view,1,2025-06-20T06:13:00,SUV,narita,prod_004,,,desktop
evt_000139,sess_0033,user_0426,view,2,2025-06-20T06:14:28,hatchback,funabashi,prod_012,,,desktop
evt_000140,sess_0033,user_0426,view,3,2025-06-20T06:16:04,hatchback,narita,prod_014,,,desktop
evt_000141,sess_0033,user_0426,view,4,2025-06-20T06:19:12,minivan,chiba,prod_006,,,desktop
evt_000142,sess_0033,user_0426,purchase,5,2025-06-20T06:21:49,SUV,narita,prod_004,4,39136,desktop
evt_000143,sess_0034,user_0330,view,1,2025-06-18T22:42:00,hatchback,katsuura,prod_015,,,desktop
evt_000144,sess_0034,user_0330,view,2,2025-06-18T22:45:06,hatchback,kashiwa,prod_013,,,desktop
evt_000145,sess_0034,user_0330,view,3,2025-06-18T22:45:35,SUV,katsuura,prod_005,,,desktop
evt_000146,sess_0034,user_0330,view,4,2025-06-18T22:47:19,hatchback,katsuura,prod_015,,,desktop
evt_000147,sess_0034,user_0330,view,5,2025-06-18T22:49:31,SUV,katsuura,prod_005,,,desktop
evt_000148,sess_0035,user_0420,view,1,2025-06-18T16:04:00,hatchback,kashiwa,prod_013,,,desktop
evt_000149,sess_0035,user_0420,view,2,2025-06-18T16:07:34,minivan,kashiwa,prod_008,,,desktop
evt_000150,sess_0035,user_0420,view,3,2025-06-18T16:10:32,SUV,kashiwa,prod_003,,,desktop
evt_000151,sess_0035,user_0420,view,4,2025-06-18T16:12:05,hatchback,narita,prod_014,,,desktop
evt_000152,sess_0035,user_0420,view,5,2025-06-18T16:14:16,hatchback,narita,prod_014,,,desktop
evt_000153,sess_0035,user_0420,view,6,2025-06-18T16:17:36,hatchback,funabashi,prod_012,,,desktop
evt_000154,sess_0035,user_0420,purchase,7,2025-06-18T16:20:53,hatchback,kashiwa,prod_013,1,5751,desktop
evt_000155,sess_0036,user_0368,view,1,2025-06-24T00:35:00,hatchback,chiba,prod_011,,,mobile
evt_000156,sess_0036,user_0368,view,2,2025-06-24T00:37:18,hatchback,kashiwa,prod_013,,,mobile
evt_000157,sess_0036,user_0368,view,3,2025-06-24T00:40:28,SUV,narita,prod_004,,,mobile
evt_000158,sess_0037,user_0162,view,1,2025-06-06T05:29:00,SUV,kashiwa,prod_003,,,mobile
evt_000159,sess_0037,user_0162,view,2,2025-06-06T05:31:47,SUV,narita,prod_004,,,mobile
evt_000160,sess_0037,user_0162,view,3,2025-06-06T05:32:12,hatchback,narita,prod_014,,,mobile
evt_000161,sess_0037,user_0162,view,4,2025-06-06T05:33:42,SUV,katsuura,prod_005,,,mobile
evt_000162,sess_0037,user_0162,view,5,2025-06-06T05:37:21,minivan,chiba,prod_006,,,mobile
evt_000163,sess_0038,user_0294,view,1,2025-06-29T23:12:00,SUV,narita,prod_004,,,desktop
evt_000164,sess_0038,user_0294,view,2,2025-06-29T23:12:30,minivan,kashiwa,prod_008,,,desktop
evt_000165,sess_0038,user_0294,view,3,2025-06-29T23:15:18,minivan,chiba,prod_006,,,desktop
evt_000166,sess_0038,user_0294,purchase,4,2025-06-29T23:16:53,minivan,kashiwa,prod_008,1,11748,desktop
evt_000167,sess_0039,user_0375,view,1,2025-06-22T16:32:00,hatchback,chiba,prod_011,,,mobile
evt_000168,sess_0039,user_0375,view,2,2025-06-22T16:33:17,hatchback,narita,prod_014,,,mobile
evt_000169,sess_0040,user_0571,view,1,2025-06-06T07:20:00,hatchback,kashiwa,prod_013,,,mobile
evt_000170,sess_0040,user_0571,view,2,2025-06-06T07:22:58,hatchback,kashiwa,prod_013,,,mobile
evt_000171,sess_0040,user_0571,view,3,2025-06-06T07:25:54,SUV,chiba,prod_001,,,mobile
evt_000172,sess_0040,user_0571,view,4,2025-06-06T07:29:44,SUV,narita,prod_004,,,mobile
evt_000173,sess_0040,user_0571,purchase,5,2025-06-06T07:32:50,hatchback,kashiwa,prod_013,5,29870,mobile
evt_000174,sess_0041,user_0505,view,1,2025-06-20T06:09:00,minivan,narita,prod_009,,,mobile
evt_000175,sess_0041,user_0505,view,2,2025-06-20T06:11:57,minivan,katsuura,prod_010,,,mobile
evt_000176,sess_0041,user_0505,view,3,2025-06-20T06:12:25,hatchback,funabashi,prod_012,,,mobile
evt_000177,sess_0042,user_0372,view,1,2025-06-05T13:07:00,hatchback,narita,prod_014,,,mobile
evt_000178,sess_0042,user_0372,view,2,2025-06-05T13:09:52,hatchback,chiba,prod_011,,,mobile
evt_000179,sess_0042,user_0372,view,3,2025-06-05T13:11:37,SUV,chiba,prod_001,,,mobile
evt_000180,sess_0042,user_0372,view,4,2025-06-05T13:14:21,SUV,katsuura,prod_005,,,mobile
evt_000181,sess_0042,user_0372,view,5,2025-06-05T13:17:02,SUV,chiba,prod_001,,,mobile
evt_000182,sess_0042,user_0372,purchase,6,2025-06-05T13:18:21,hatchback,narita,prod_014,5,30794,mobile
evt_000183,sess_0043,user_0149,view,1,2025-06-09T07:19:00,SUV,chiba,prod_001,,,desktop
evt_000184,sess_0043,user_0149,view,2,2025-06-09T07:21:07,minivan,narita,prod_009,,,desktop
evt_000185,sess_0043,user_0149,purchase,3,2025-06-09T07:23:28,SUV,chiba,prod_001,2,18320,desktop
evt_000186,sess_0044,user_0227,view,1,2025-06-20T18:36:00,hatchback,kashiwa,prod_013,,,desktop
evt_000187,sess_0044,user_0227,view,2,2025-06-20T18:38:13,SUV,chiba,prod_001,,,desktop
evt_000188,sess_0044,user_0227,view,3,2025-06-20T18:41:08,SUV,chiba,prod_001,,,desktop
evt_000189,sess_0044,user_0227,view,4,2025-06-20T18:44:07,hatchback,kashiwa,prod_013,,,desktop
evt_000190,sess_0044,user_0227,view,5,2025-06-20T18:45:50,minivan,kashiwa,prod_008,,,desktop
evt_000191,sess_0044,user_0227,purchase,6,2025-06-20T18:47:25,hatchback,kashiwa,prod_013,1,6332,desktop
evt_000192,sess_0045,user_0671,view,1,2025-06-15T14:23:00,SUV,narita,prod_004,,,desktop
evt_000193,sess_0045,user_0671,view,2,2025-06-15T14:24:55,hatchback,narita,prod_014,,,desktop
evt_000194,sess_0045,user_0671,purchase,3,2025-06-15T14:27:16,hatchback,narita,prod_014,2,12500,desktop
evt_000195,sess_0046,user_0382,view,1,2025-06-14T11:10:00,minivan,kashiwa,prod_008,,,desktop
evt_000196,sess_0046,user_0382,view,2,2025-06-14T11:12:47,minivan,chiba,prod_006,,,desktop
evt_000197,sess_0046,user_0382,purchase,3,2025-06-14T11:15:10,minivan,kashiwa,prod_008,4,44226,desktop
evt_000198,sess_0047,user_0286,view,1,2025-06-02T16:37:00,SUV,narita,prod_004,,,mobile
evt_000199,sess_0047,user_0286,view,2,2025-06-02T16:38:39,hatchback,funabashi,prod_012,,,mobile
evt_000200,sess_0047,user_0286,view,3,2025-06-02T16:39:45,hatchback,kashiwa,prod_013,,,mobile
evt_000201,sess_0047,user_0286,view,4,2025-06-02T16:41:47,SUV,narita,prod_004,,,mobile
evt_000202,sess_0047,user_0286,purchase,5,2025-06-02T16:42:14,hatchback,kashiwa,prod_013,2,12217,mobile
evt_000203,sess_0048,user_0162,view,1,2025-06-21T12:59:00,minivan,narita,prod_009,,,mobile
evt_000204,sess_0048,user_0162,view,2,2025-06-21T13:01:13,minivan,funabashi,prod_007,,,mobile
evt_000205,sess_0048,user_0162,view,3,2025-06-21T13:03:44,SUV,kashiwa,prod_003,,,mobile
evt_000206,sess_0048,user_0162,view,4,2025-06-21T13:05:16,minivan,narita,prod_009,,,mobile
evt_000207,sess_0049,user_0047,view,1,2025-06-20T23:23:00,SUV,funabashi,prod_002,,,mobile
evt_000208,sess_0049,user_0047,view,2,2025-06-20T23:26:20,SUV,kashiwa,prod_003,,,mobile
evt_000209,sess_0049,user_0047,view,3,2025-06-20T23:29:31,hatchback,chiba,prod_011,,,mobile
evt_000210,sess_0049,user_0047,view,4,2025-06-20T23:33:31,minivan,funabashi,prod_007,,,mobile
evt_000211,sess_0049,user_0047,view,5,2025-06-20T23:35:48,hatchback,narita,prod_014,,,mobile
evt_000212,sess_0049,user_0047,purchase,6,2025-06-20T23:38:35,SUV,kashiwa,prod_003,3,26823,mobile
evt_000213,sess_0050,user_0415,view,1,2025-06-19T14:23:00,minivan,funabashi,prod_007,,,mobile
evt_000214,sess_0050,user_0415,view,2,2025-06-19T14:24:39,hatchback,chiba,prod_011,,,mobile
evt_000215,sess_0050,user_0415,view,3,2025-06-19T14:28:18,SUV,funabashi,prod_002,,,mobile
evt_000216,sess_0050,user_0415,view,4,2025-06-19T14:29:07,minivan,chiba,prod_006,,,mobile
evt_000217,sess_0050,user_0415,view,5,2025-06-19T14:32:45,minivan,narita,prod_009,,,mobile
evt_000218,sess_0050,user_0415,view,6,2025-06-19T14:36:34,minivan,chiba,prod_006,,,mobile
evt_000219,sess_0050,user_0415,purchase,7,2025-06-19T14:37:20,hatchback,chiba,prod_011,2,12768,mobile
evt_000220,sess_0051,user_0672,view,1,2025-06-16T02:01:00,hatchback,narita,prod_014,,,mobile
evt_000221,sess_0051,user_0672,view,2,2025-06-16T02:01:58,SUV,kashiwa,prod_003,,,mobile
evt_000222,sess_0051,user_0672,view,3,2025-06-16T02:04:59,SUV,funabashi,prod_002,,,mobile
evt_000223,sess_0051,user_0672,view,4,2025-06-16T02:05:33,SUV,chiba,prod_001,,,mobile
evt_000224,sess_0051,user_0672,view,5,2025-06-16T02:07:51,minivan,chiba,prod_006,,,mobile
evt_000225,sess_0051,user_0672,view,6,2025-06-16T02:11:43,SUV,narita,prod_004,,,mobile
evt_000226,sess_0051,user_0672,purchase,7,2025-06-16T02:15:41,SUV,chiba,prod_001,2,18667,mobile
evt_000227,sess_0052,user_0043,view,1,2025-06-05T05:06:00,minivan,chiba,prod_006,,,mobile
evt_000228,sess_0052,user_0043,view,2,2025-06-05T05:07:23,minivan,katsuura,prod_010,,,mobile
evt_000229,sess_0052,user_0043,view,3,2025-06-05T05:09:57,minivan,chiba,prod_006,,,mobile
evt_000230,sess_0052,user_0043,view,4,2025-06-05T05:11:52,hatchback,funabashi,prod_012,,,mobile
evt_000231,sess_0052,user_0043,purchase,5,2025-06-05T05:15:30,minivan,chiba,prod_006,3,34554,mobile
evt_000232,sess_0053,user_0068,view,1,2025-06-17T07:05:00,SUV,kashiwa,prod_003,,,mobile
evt_000233,sess_0053,user_0068,view,2,2025-06-17T07:08:09,SUV,kashiwa,prod_003,,,mobile
evt_000234,sess_0053,user_0068,view,3,2025-06-17T07:08:50,SUV,funabashi,prod_002,,,mobile
evt_000235,sess_0053,user_0068,purchase,4,2025-06-17T07:12:32,SUV,kashiwa,prod_003,3,29486,mobile
evt_000236,sess_0054,user_0540,view,1,2025-06-08T10:14:00,SUV,narita,prod_004,,,mobile
evt_000237,sess_0054,user_0540,view,2,2025-06-08T10:14:45,minivan,kashiwa,prod_008,,,mobile
evt_000238,sess_0054,user_0540,view,3,2025-06-08T10:18:14,hatchback,chiba,prod_011,,,mobile
evt_000239,sess_0055,user_0633,view,1,2025-06-21T14:11:00,hatchback,narita,prod_014,,,mobile
evt_000240,sess_0055,user_0633,view,2,2025-06-21T14:14:40,minivan,funabashi,prod_007,,,mobile
evt_000241,sess_0055,user_0633,view,3,2025-06-21T14:16:19,hatchback,narita,prod_014,,,mobile
evt_000242,sess_0055,user_0633,purchase,4,2025-06-21T14:20:12,hatchback,narita,prod_014,4,26337,mobile
evt_000243,sess_0056,user_0289,view,1,2025-06-26T14:42:00,hatchback,narita,prod_014,,,desktop
evt_000244,sess_0056,user_0289,view,2,2025-06-26T14:44:32,hatchback,funabashi,prod_012,,,desktop
evt_000245,sess_0056,user_0289,view,3,2025-06-26T14:48:07,SUV,kashiwa,prod_003,,,desktop
evt_000246,sess_0056,user_0289,view,4,2025-06-26T14:50:38,SUV,kashiwa,prod_003,,,desktop
evt_000247,sess_0057,user_0358,view,1,2025-06-08T00:31:00,SUV,funabashi,prod_002,,,desktop
evt_000248,sess_0057,user_0358,view,2,2025-06-08T00:34:52,minivan,narita,prod_009,,,desktop
evt_000249,sess_0057,user_0358,view,3,2025-06-08T00:38:26,hatchback,kashiwa,prod_013,,,desktop
evt_000250,sess_0057,user_0358,view,4,2025-06-08T00:38:47,hatchback,chiba,prod_011,,,desktop
evt_000251,sess_0058,user_0562,view,1,2025-06-06T10:05:00,hatchback,kashiwa,prod_013,,,desktop
evt_000252,sess_0058,user_0562,view,2,2025-06-06T10:07:37,SUV,narita,prod_004,,,desktop
evt_000253,sess_0059,user_0299,view,1,2025-06-24T11:27:00,minivan,funabashi,prod_007,,,mobile
evt_000254,sess_0059,user_0299,view,2,2025-06-24T11:29:20,SUV,funabashi,prod_002,,,mobile
evt_000255,sess_0059,user_0299,view,3,2025-06-24T11:31:15,SUV,chiba,prod_001,,,mobile
